TSK,TSK_desc,Registrovano_pocet,Objasneno_pocet,Objasneno_procent,Spachano_nezletilymi,Spachano_mladistvymi,Spachano_detmi,Spachano_opakovane,Spachano_cizinci,Spachano_pod_vlivem,Spachano_pod_vlivem_alkoholu,Spachano_firmou,Objasneno_dodatecne,Objasneno_celkem,Spachano_nezletilymi_celkem,Spachano_mladistvymi_celkem,Spachano_detmi_celkem,Spachano_opakovane_celkem,Spachano_cizinci_celkem,Spachano_pod_vlivem_celkem,Spachano_pod_vlivem_alkoholu_celkem,Spachano_firmou_celkem,Skoda_celkem_tis,Skoda_zajistena_tis,Region,Period
300-599,majetková kriminalita,3553,647,0.1821,4,4,8,520,61,25,11,0,496,1143,10,26,35,852,116,37,13,0,292522,1151,Jihomoravský,2024-04-01
600-699,ostatní kriminalita,935,391,0.4182,1,11,12,244,51,64,31,0,213,604,2,28,29,367,72,89,43,0,6407,0,Jihomoravský,2024-04-01
100-699,obecná kriminalita,5102,1264,0.24780000000000002,7,34,41,859,148,122,62,0,920,2184,29,94,121,1395,242,181,91,1,300246,1151,Jihomoravský,2024-04-01
700-799,zbývající kriminalita,805,394,0.4894,2,1,3,105,80,275,211,0,259,653,3,7,10,173,116,382,294,0,29974,0,Jihomoravský,2024-04-01
800-899,hospodářská kriminalita,492,89,0.1809,0,0,0,22,51,2,2,6,107,196,0,2,2,51,65,2,2,29,279379,0,Jihomoravský,2024-04-01
900-999,vojenské a protiústavní činy,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jihomoravský,2024-04-01
100-106,vraždy,3,2,0.6667000000000001,0,0,0,1,1,1,1,0,1,3,1,0,1,1,1,1,1,0,0,0,Moravskoslezský,2024-04-01
100-199,násilná kriminalita,710,295,0.4155,12,21,32,169,23,44,23,0,177,472,30,41,66,246,37,58,31,0,2585,0,Moravskoslezský,2024-04-01
200-299,mravnostní kriminalita,136,56,0.4118,13,10,23,9,5,3,1,0,31,87,19,12,31,15,8,3,1,0,9,0,Moravskoslezský,2024-04-01
300-399,krádeže vloupáním,1051,291,0.27690000000000003,4,12,16,252,10,4,0,0,165,456,13,24,37,393,11,5,1,0,35121,132,Moravskoslezský,2024-04-01
400-499,krádeže prosté,1713,1018,0.5943,4,9,13,871,21,19,9,0,213,1231,17,27,42,1018,29,19,9,0,35376,309,Moravskoslezský,2024-04-01
500-599,ostatní majetková kriminalita,1247,125,0.1002,0,4,4,64,12,1,0,0,160,285,6,17,23,143,22,2,0,0,154830,0,Moravskoslezský,2024-04-01
300-599,majetková kriminalita,4011,1434,0.3575,8,25,33,1187,43,24,9,0,538,1972,36,68,102,1554,62,26,10,0,225327,441,Moravskoslezský,2024-04-01
600-699,ostatní kriminalita,1210,708,0.5851,24,49,73,464,29,65,28,0,192,900,45,75,119,569,35,73,32,0,17956,0,Moravskoslezský,2024-04-01
100-699,obecná kriminalita,6067,2493,0.41090000000000004,57,105,161,1829,100,136,61,0,938,3431,130,196,318,2384,142,160,74,0,245877,441,Moravskoslezský,2024-04-01
700-799,zbývající kriminalita,879,460,0.5233,1,1,2,166,27,289,248,1,267,727,1,4,5,264,45,341,290,1,16566,0,Moravskoslezský,2024-04-01
800-899,hospodářská kriminalita,564,205,0.3635,0,0,0,73,13,0,0,2,69,274,0,0,0,101,22,0,0,4,5606781,0,Moravskoslezský,2024-04-01
900-999,vojenské a protiústavní činy,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moravskoslezský,2024-04-01
100-106,vraždy,1,1,1.0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,Olomoucký,2024-04-01
100-199,násilná kriminalita,318,157,0.49369999999999997,6,9,14,65,17,59,48,0,84,241,12,22,32,95,20,74,60,0,1107,203,Olomoucký,2024-04-01
200-299,mravnostní kriminalita,55,18,0.3273,3,1,4,6,1,6,4,0,14,32,4,2,6,6,1,7,4,0,0,0,Olomoucký,2024-04-01
300-399,krádeže vloupáním,259,46,0.1776,4,0,4,30,1,3,2,0,33,79,7,2,8,55,2,4,3,0,11271,4,Olomoucký,2024-04-01
400-499,krádeže prosté,432,218,0.5046,2,4,6,181,5,19,10,0,56,274,2,9,11,214,6,21,12,0,10639,188,Olomoucký,2024-04-01
500-599,ostatní majetková kriminalita,584,69,0.1182,0,2,2,30,8,6,4,0,60,129,1,6,7,53,14,9,7,0,84402,0,Olomoucký,2024-04-01
300-599,majetková kriminalita,1275,333,0.2612,6,6,12,241,14,28,16,0,149,482,10,17,26,322,22,34,22,0,106312,192,Olomoucký,2024-04-01
600-699,ostatní kriminalita,463,272,0.5875,2,10,12,124,16,47,27,0,85,357,3,13,16,162,18,61,37,0,3106,0,Olomoucký,2024-04-01
100-699,obecná kriminalita,2111,780,0.36950000000000005,17,26,42,436,48,140,95,0,332,1112,29,54,80,585,61,176,123,0,110525,394,Olomoucký,2024-04-01
700-799,zbývající kriminalita,543,332,0.6114,0,0,0,86,41,190,161,0,130,462,0,0,0,122,51,231,191,0,16097,0,Olomoucký,2024-04-01
800-899,hospodářská kriminalita,337,122,0.36200000000000004,0,0,0,15,12,1,0,1,46,168,0,0,0,21,14,1,0,3,214191,222,Olomoucký,2024-04-01
900-999,vojenské a protiústavní činy,1,1,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Olomoucký,2024-04-01
100-106,vraždy,1,1,1.0,0,0,0,1,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,Zlínský,2024-04-01
100-199,násilná kriminalita,231,101,0.4372,3,3,6,51,9,57,36,0,51,152,5,7,12,74,16,79,50,0,558,0,Zlínský,2024-04-01
200-299,mravnostní kriminalita,44,13,0.2955,1,0,1,5,0,4,3,0,13,26,7,3,10,8,1,6,4,0,0,0,Zlínský,2024-04-01
300-399,krádeže vloupáním,217,37,0.1705,2,4,6,28,0,7,0,0,12,49,3,6,9,35,1,8,0,0,9146,45,Zlínský,2024-04-01
400-499,krádeže prosté,349,194,0.5559000000000001,0,2,2,165,5,50,9,0,54,248,0,4,4,209,6,54,10,0,6793,119,Zlínský,2024-04-01
500-599,ostatní majetková kriminalita,405,49,0.121,0,2,2,22,2,13,3,0,35,84,1,3,4,36,3,14,4,0,78533,340,Zlínský,2024-04-01
300-599,majetková kriminalita,971,280,0.2884,2,8,10,215,7,70,12,0,101,381,4,13,17,280,10,76,14,0,94473,504,Zlínský,2024-04-01
600-699,ostatní kriminalita,404,230,0.5693,1,4,5,137,22,56,34,0,36,266,1,6,7,154,24,62,38,0,1255,0,Zlínský,2024-04-01
100-699,obecná kriminalita,1650,624,0.3782,7,15,22,408,38,187,85,0,201,825,17,29,46,516,51,223,106,0,96286,504,Zlínský,2024-04-01
700-799,zbývající kriminalita,479,260,0.5428000000000001,2,2,4,91,25,148,118,0,75,335,2,2,4,113,37,175,139,0,27737,0,Zlínský,2024-04-01
800-899,hospodářská kriminalita,220,70,0.3182,0,0,0,12,13,1,0,1,32,102,0,0,0,19,13,2,0,3,208292,0,Zlínský,2024-04-01
900-999,vojenské a protiústavní činy,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zlínský,2024-04-01
100-106,vraždy,2,2,1.0,0,1,1,0,1,1,0,0,0,2,0,1,1,0,1,1,0,0,0,0,Vysočina,2024-04-01
100-199,násilná kriminalita,216,94,0.43520000000000003,5,4,9,45,12,42,32,0,53,147,5,10,15,61,21,55,39,0,1802,0,Vysočina,2024-04-01
200-299,mravnostní kriminalita,49,18,0.3674,1,1,2,6,0,6,4,0,8,26,3,3,6,6,0,7,4,0,0,0,Vysočina,2024-04-01
300-399,krádeže vloupáním,177,66,0.3729,0,3,3,61,2,3,1,0,21,87,0,6,6,79,3,3,1,0,14315,12,Vysočina,2024-04-01
400-499,krádeže prosté,238,138,0.5798,0,4,4,99,5,7,3,0,26,164,1,8,9,114,7,9,4,0,8365,34,Vysočina,2024-04-01
500-599,ostatní majetková kriminalita,400,44,0.11,2,0,2,17,4,3,2,0,37,81,3,3,6,34,7,3,2,0,76134,0,Vysočina,2024-04-01
300-599,majetková kriminalita,815,248,0.3043,2,7,9,177,11,13,6,0,84,332,4,17,21,227,17,15,7,0,98814,46,Vysočina,2024-04-01
600-699,ostatní kriminalita,335,211,0.6299,0,19,19,122,24,35,19,0,50,261,1,27,28,146,26,47,23,0,7774,0,Vysočina,2024-04-01
100-699,obecná kriminalita,1415,571,0.4035,8,31,39,350,47,96,61,0,195,766,13,57,70,440,64,124,73,0,108389,46,Vysočina,2024-04-01
700-799,zbývající kriminalita,306,185,0.6046,2,3,5,47,45,132,118,0,78,263,2,5,7,69,53,149,133,0,11244,0,Vysočina,2024-04-01
800-899,hospodářská kriminalita,190,61,0.321,0,0,0,9,21,0,0,2,22,83,0,0,0,14,21,0,0,4,210014,0,Vysočina,2024-04-01
900-999,vojenské a protiústavní činy,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vysočina,2024-04-01
100-106,vraždy,3,2,0.6667000000000001,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,1,0,0,0,Pardubický,2024-04-01
100-199,násilná kriminalita,163,78,0.47850000000000004,1,1,2,44,8,27,18,0,29,107,2,4,6,59,12,36,19,0,1385,0,Pardubický,2024-04-01
200-299,mravnostní kriminalita,65,31,0.4769,6,7,13,8,0,2,1,0,11,42,9,11,20,10,0,3,1,0,0,0,Pardubický,2024-04-01
300-399,krádeže vloupáním,146,47,0.32189999999999996,2,0,2,39,5,2,2,0,45,92,2,0,2,76,9,3,3,0,3724,11,Pardubický,2024-04-01
400-499,krádeže prosté,257,144,0.5603,1,1,2,126,9,17,11,0,33,177,1,4,5,145,13,22,12,0,8523,68,Pardubický,2024-04-01
500-599,ostatní majetková kriminalita,414,47,0.11349999999999999,0,0,0,21,8,14,7,0,50,97,4,4,8,39,14,19,10,0,57720,794,Pardubický,2024-04-01
300-599,majetková kriminalita,817,238,0.2913,3,1,4,186,22,33,20,0,128,366,7,8,15,260,36,44,25,0,69967,873,Pardubický,2024-04-01
600-699,ostatní kriminalita,336,213,0.6339,4,12,16,100,25,56,14,0,30,243,6,14,20,114,30,59,15,0,1158,0,Pardubický,2024-04-01
100-699,obecná kriminalita,1381,560,0.40549999999999997,14,21,35,338,55,118,53,0,198,758,24,37,61,443,78,142,60,0,72510,873,Pardubický,2024-04-01
700-799,zbývající kriminalita,353,200,0.5666,0,0,0,53,29,129,112,0,98,298,0,0,0,94,41,148,125,0,14004,0,Pardubický,2024-04-01
800-899,hospodářská kriminalita,158,66,0.4177,0,0,0,7,4,0,0,2,17,83,1,1,2,9,5,0,0,2,134027,0,Pardubický,2024-04-01
900-999,vojenské a protiústavní činy,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pardubický,2024-04-01
100-106,vraždy,4,4,1.0,0,0,0,2,2,1,0,0,1,5,0,1,1,2,2,1,0,0,0,0,Liberecký,2024-04-01
100-199,násilná kriminalita,254,109,0.4291,4,1,5,42,21,11,8,0,92,201,7,9,14,69,32,18,14,0,883,0,Liberecký,2024-04-01
200-299,mravnostní kriminalita,66,22,0.3333,2,0,2,8,0,0,0,0,21,43,2,3,5,13,1,0,0,0,0,0,Liberecký,2024-04-01
300-399,krádeže vloupáním,395,48,0.1215,0,0,0,40,0,0,0,0,67,115,0,2,2,90,6,1,0,0,30638,97,Liberecký,2024-04-01
400-499,krádeže prosté,410,184,0.44880000000000003,0,4,4,150,14,3,2,0,57,241,0,6,6,189,17,3,2,0,22509,64,Liberecký,2024-04-01
500-599,ostatní majetková kriminalita,469,41,0.0874,2,0,2,17,2,0,0,0,57,98,6,2,7,41,7,0,0,0,125209,0,Liberecký,2024-04-01
300-599,majetková kriminalita,1274,273,0.2143,2,4,6,207,16,3,2,0,181,454,6,10,15,320,30,4,2,0,178357,162,Liberecký,2024-04-01
600-699,ostatní kriminalita,472,321,0.6801,1,0,1,210,28,31,10,0,86,407,2,2,4,263,31,39,15,0,24319,0,Liberecký,2024-04-01
100-699,obecná kriminalita,2066,725,0.35090000000000005,9,5,14,467,65,45,20,0,380,1105,17,24,38,665,94,61,31,0,203558,162,Liberecký,2024-04-01
700-799,zbývající kriminalita,401,193,0.4813,1,1,2,48,32,130,101,0,145,338,1,1,2,91,43,157,119,0,16351,0,Liberecký,2024-04-01
800-899,hospodářská kriminalita,215,65,0.3023,0,0,0,9,6,0,0,6,63,128,0,0,0,28,12,1,0,6,100988,0,Liberecký,2024-04-01
900-999,vojenské a protiústavní činy,1,0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Liberecký,2024-04-01
100-106,vraždy,1,1,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Karlovarský,2024-04-01
100-199,násilná kriminalita,162,66,0.40740000000000004,3,0,3,42,7,2,1,0,33,99,5,4,9,55,10,5,1,0,845,0,Karlovarský,2024-04-01
200-299,mravnostní kriminalita,31,12,0.3871,0,1,1,4,1,2,0,0,12,24,1,3,4,5,3,2,0,0,0,0,Karlovarský,2024-04-01
300-399,krádeže vloupáním,360,77,0.2139,0,1,1,69,1,0,0,0,55,132,1,4,5,107,1,0,0,0,14064,83,Karlovarský,2024-04-01
400-499,krádeže prosté,324,162,0.5,0,1,1,134,10,2,1,0,51,213,0,4,4,173,11,2,1,0,10811,95,Karlovarský,2024-04-01
500-599,ostatní majetková kriminalita,287,60,0.2091,4,0,4,24,4,1,1,0,49,109,5,1,6,48,11,1,1,0,65567,0,Karlovarský,2024-04-01
300-599,majetková kriminalita,971,299,0.3079,4,2,6,227,15,3,2,0,155,454,6,9,15,328,23,3,2,0,90442,179,Karlovarský,2024-04-01
600-699,ostatní kriminalita,289,160,0.5536,3,0,3,114,8,9,6,0,72,232,4,3,7,167,16,14,7,0,1025,0,Karlovarský,2024-04-01
100-699,obecná kriminalita,1453,537,0.3696,10,3,13,387,31,16,9,0,272,809,16,19,35,555,52,24,10,0,92311,179,Karlovarský,2024-04-01
700-799,zbývající kriminalita,291,110,0.37799999999999995,0,0,0,37,19,94,72,1,112,222,0,0,0,78,30,131,94,1,7185,0,Karlovarský,2024-04-01
800-899,hospodářská kriminalita,129,27,0.20929999999999999,0,0,0,6,8,0,0,0,33,60,0,0,0,15,18,0,0,1,76939,0,Karlovarský,2024-04-01
900-999,vojenské a protiústavní činy,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Karlovarský,2024-04-01
100-106,vraždy,58,44,0.7585999999999999,1,2,3,14,10,21,16,0,11,55,2,3,5,17,11,21,16,0,421,0,Česká republika,2024-05-01
100-199,násilná kriminalita,6243,2845,0.4557,113,168,271,1348,369,562,367,0,1428,4273,194,309,483,1900,538,744,488,0,28997,222,Česká republika,2024-05-01
200-299,mravnostní kriminalita,1568,615,0.3922,66,74,140,155,52,48,21,0,404,1019,139,141,280,227,70,60,28,1,6,0,Česká republika,2024-05-01
300-399,krádeže vloupáním,11837,1948,0.1646,19,49,67,1577,106,129,12,0,1388,3336,44,104,139,2688,182,165,17,0,600558,2070,Česká republika,2024-05-01
400-499,krádeže prosté,13848,6069,0.43829999999999997,43,92,135,4960,400,393,103,0,1612,7681,71,187,256,6121,564,425,112,0,496184,8289,Česká republika,2024-05-01
500-599,ostatní majetková kriminalita,14489,1462,0.1009,24,28,52,743,154,116,62,3,1660,3122,55,99,153,1493,339,142,77,8,2481164,1151,Česká republika,2024-05-01
300-599,majetková kriminalita,40174,9479,0.23600000000000002,86,169,254,7280,660,638,177,3,4660,14139,170,390,548,10302,1085,732,206,8,3577905,11511,Česká republika,2024-05-01
600-699,ostatní kriminalita,12561,7208,0.5738,91,248,336,4478,725,851,359,1,1880,9088,144,401,540,5493,890,994,427,1,320359,0,Česká republika,2024-05-01
100-699,obecná kriminalita,60546,20147,0.3328,356,659,1001,13261,1806,2099,924,4,8372,28519,647,1241,1851,17922,2583,2530,1149,10,3927267,11733,Česká republika,2024-05-01
700-799,zbývající kriminalita,10441,5960,0.5708,12,48,60,1847,976,3769,2916,3,2709,8669,16,73,89,2740,1281,4426,3400,5,570228,0,Česká republika,2024-05-01
800-899,hospodářská kriminalita,6434,2332,0.3624,6,10,16,437,888,17,12,46,1121,3453,8,20,28,744,1078,22,13,111,10429440,619,Česká republika,2024-05-01
900-999,vojenské a protiústavní činy,11,2,0.1818,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,Česká republika,2024-05-01
100-106,vraždy,13,5,0.3846,0,0,0,1,1,1,1,0,0,5,0,0,0,1,1,1,1,0,0,0,Praha,2024-05-01
100-199,násilná kriminalita,781,299,0.38280000000000003,18,14,27,131,79,40,28,0,153,452,28,24,47,180,116,56,44,0,7109,0,Praha,2024-05-01
200-299,mravnostní kriminalita,205,82,0.4,4,11,15,21,15,2,0,0,47,129,15,15,30,29,17,2,0,0,0,0,Praha,2024-05-01
300-399,krádeže vloupáním,3535,175,0.0495,1,1,2,143,22,2,0,0,324,499,1,3,4,406,39,5,0,0,216615,955,Praha,2024-05-01
400-499,krádeže prosté,3843,827,0.2152,2,17,19,605,172,26,8,0,351,1178,5,29,34,859,247,27,8,0,116682,2237,Praha,2024-05-01
500-599,ostatní majetková kriminalita,3526,261,0.07400000000000001,2,5,7,140,53,15,13,0,297,558,5,12,17,266,117,20,17,0,604232,17,Praha,2024-05-01
300-599,majetková kriminalita,10904,1263,0.1158,5,23,28,888,247,43,21,0,972,2235,11,44,55,1531,403,52,25,0,937529,3209,Praha,2024-05-01
600-699,ostatní kriminalita,2235,925,0.4139,6,9,13,518,221,67,30,0,233,1158,9,20,27,644,264,76,37,0,48688,0,Praha,2024-05-01
100-699,obecná kriminalita,14125,2569,0.1819,33,57,83,1558,562,152,79,0,1405,3974,63,103,159,2384,800,186,106,0,993326,3209,Praha,2024-05-01
700-799,zbývající kriminalita,1005,585,0.5821000000000001,0,25,25,139,144,384,241,0,286,871,0,29,29,221,196,443,271,0,151742,0,Praha,2024-05-01
800-899,hospodářská kriminalita,1596,711,0.44549999999999995,0,2,2,84,585,3,2,8,232,943,0,6,6,146,640,4,2,20,2569174,0,Praha,2024-05-01
900-999,vojenské a protiústavní činy,4,1,0.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Praha,2024-05-01
100-106,vraždy,5,5,1.0,0,0,0,0,1,3,3,0,1,6,0,0,0,0,2,3,3,0,0,0,Středočeský,2024-05-01
100-199,násilná kriminalita,685,268,0.3912,12,9,21,123,37,21,16,0,174,442,18,18,36,195,52,27,20,0,4642,0,Středočeský,2024-05-01
200-299,mravnostní kriminalita,148,43,0.2905,2,6,8,13,6,3,0,0,64,107,8,15,23,31,9,5,2,0,0,0,Středočeský,2024-05-01
300-399,krádeže vloupáním,1383,197,0.1424,0,5,5,153,22,13,2,0,184,381,4,13,16,304,30,18,2,0,88748,80,Středočeský,2024-05-01
400-499,krádeže prosté,1148,452,0.3937,4,2,6,319,36,13,4,0,164,616,6,10,16,434,51,16,5,0,79470,1249,Středočeský,2024-05-01
500-599,ostatní majetková kriminalita,1578,127,0.0805,1,2,3,58,16,8,5,1,239,366,4,6,10,161,38,9,6,5,266385,0,Středočeský,2024-05-01
300-599,majetková kriminalita,4109,776,0.1889,5,9,14,530,74,34,11,1,587,1363,14,29,42,899,119,43,13,5,434603,1329,Středočeský,2024-05-01
600-699,ostatní kriminalita,1529,962,0.6292,4,6,10,603,88,82,23,0,341,1303,13,36,49,777,112,93,29,0,115558,0,Středočeský,2024-05-01
100-699,obecná kriminalita,6471,2049,0.3166,23,30,53,1269,205,140,50,1,1166,3215,53,98,150,1902,292,168,64,5,554803,1329,Středočeský,2024-05-01
700-799,zbývající kriminalita,1473,910,0.6178,1,1,2,242,211,634,513,0,390,1300,2,5,7,351,264,713,582,0,74369,0,Středočeský,2024-05-01
800-899,hospodářská kriminalita,468,94,0.2009,0,0,0,19,38,1,1,2,124,218,0,0,0,56,56,2,2,13,214702,62,Středočeský,2024-05-01
900-999,vojenské a protiústavní činy,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Středočeský,2024-05-01
100-106,vraždy,5,3,0.6,0,0,0,1,0,1,1,0,1,4,0,0,0,1,0,1,1,0,0,0,Jihočeský,2024-05-01
100-199,násilná kriminalita,385,190,0.4935,7,10,17,84,16,26,19,0,55,245,11,16,27,101,20,31,24,0,1098,0,Jihočeský,2024-05-01
200-299,mravnostní kriminalita,90,36,0.4,2,3,5,4,2,1,1,0,18,54,5,4,9,6,2,1,1,0,0,0,Jihočeský,2024-05-01
300-399,krádeže vloupáním,382,88,0.2304,3,3,5,70,1,0,0,0,63,151,4,9,11,119,6,0,0,0,22293,88,Jihočeský,2024-05-01
400-499,krádeže prosté,480,284,0.5917,1,2,3,242,3,9,7,0,51,335,1,7,8,277,7,9,7,0,10059,310,Jihočeský,2024-05-01
500-599,ostatní majetková kriminalita,578,67,0.1159,1,0,1,40,3,2,1,0,56,123,2,0,2,73,7,2,1,0,109142,0,Jihočeský,2024-05-01
300-599,majetková kriminalita,1440,439,0.3049,5,5,9,352,7,11,8,0,170,609,7,16,21,469,20,11,8,0,141494,398,Jihočeský,2024-05-01
600-699,ostatní kriminalita,708,476,0.6723,11,15,26,297,36,43,17,0,86,562,13,24,37,334,41,53,20,0,12528,0,Jihočeský,2024-05-01
100-699,obecná kriminalita,2623,1141,0.435,25,33,57,737,61,81,45,0,329,1470,36,60,94,910,83,96,53,0,155120,398,Jihočeský,2024-05-01
700-799,zbývající kriminalita,714,470,0.6583,0,1,1,197,62,232,166,0,110,580,0,1,1,241,70,262,185,0,46075,0,Jihočeský,2024-05-01
800-899,hospodářská kriminalita,371,151,0.40700000000000003,1,2,3,26,21,0,0,0,89,240,2,2,4,43,57,0,0,2,262334,0,Jihočeský,2024-05-01
900-999,vojenské a protiústavní činy,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jihočeský,2024-05-01
100-106,vraždy,5,5,1.0,0,0,0,1,3,5,3,0,2,7,0,0,0,3,3,5,3,0,0,0,Plzeňský,2024-05-01
100-199,násilná kriminalita,370,160,0.4324,4,15,19,73,36,19,12,0,97,257,8,27,35,113,53,21,13,0,1004,5,Plzeňský,2024-05-01
200-299,mravnostní kriminalita,90,21,0.23329999999999998,5,2,7,5,0,0,0,0,23,44,10,7,17,12,2,0,0,0,0,0,Plzeňský,2024-05-01
300-399,krádeže vloupáním,626,83,0.1326,0,1,1,64,14,1,0,0,111,194,1,3,3,153,25,1,0,0,17745,2,Plzeňský,2024-05-01
400-499,krádeže prosté,539,203,0.3766,5,3,8,142,18,10,2,0,88,291,6,4,10,210,28,12,2,0,42611,120,Plzeňský,2024-05-01
500-599,ostatní majetková kriminalita,686,59,0.086,3,1,4,23,8,3,3,0,66,125,4,5,9,52,17,4,3,0,78779,0,Plzeňský,2024-05-01
300-599,majetková kriminalita,1851,345,0.1864,8,5,13,229,40,14,5,0,265,610,11,12,22,415,70,17,5,0,139135,121,Plzeňský,2024-05-01
600-699,ostatní kriminalita,694,379,0.5461,2,8,10,229,52,28,11,0,155,534,6,20,26,308,70,38,16,0,17652,0,Plzeňský,2024-05-01
100-699,obecná kriminalita,3005,905,0.3012,19,30,49,536,128,61,28,0,540,1445,35,66,100,848,195,76,34,0,157791,126,Plzeňský,2024-05-01
700-799,zbývající kriminalita,728,314,0.4313,0,1,1,88,77,216,160,1,242,556,1,1,2,179,112,302,222,1,31898,0,Plzeňský,2024-05-01
800-899,hospodářská kriminalita,285,56,0.19649999999999998,1,0,1,10,26,2,2,0,58,114,1,2,3,25,32,2,2,1,85006,0,Plzeňský,2024-05-01
900-999,vojenské a protiústavní činy,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Plzeňský,2024-05-01
100-106,vraždy,7,6,0.8571,0,0,0,4,1,4,3,0,0,6,0,0,0,4,1,4,3,0,0,0,Ústecký,2024-05-01
100-199,násilná kriminalita,678,362,0.5339,15,24,38,187,36,83,40,0,119,481,24,42,64,233,46,102,50,0,1756,8,Ústecký,2024-05-01
200-299,mravnostní kriminalita,234,106,0.45299999999999996,11,11,22,30,7,8,3,0,59,165,25,28,53,36,7,9,4,0,1,0,Ústecký,2024-05-01
300-399,krádeže vloupáním,985,295,0.2995,2,3,5,228,9,39,1,0,117,412,4,9,11,312,12,52,1,0,38049,342,Ústecký,2024-05-01
400-499,krádeže prosté,1351,891,0.6595,11,14,25,779,35,89,12,0,124,1015,14,25,39,871,40,94,13,0,35255,660,Ústecký,2024-05-01
500-599,ostatní majetková kriminalita,1084,180,0.1661,1,5,6,100,7,28,11,1,120,300,2,15,17,158,16,31,11,2,217921,0,Ústecký,2024-05-01
300-599,majetková kriminalita,3420,1366,0.3994,14,22,36,1107,51,156,24,1,361,1727,20,49,67,1341,68,177,25,2,291225,1002,Ústecký,2024-05-01
600-699,ostatní kriminalita,1355,893,0.659,11,17,28,645,48,113,37,0,170,1063,15,37,52,741,56,123,39,0,56082,0,Ústecký,2024-05-01
100-699,obecná kriminalita,5687,2727,0.47950000000000004,51,74,124,1969,142,360,104,1,709,3436,84,156,236,2351,177,411,118,2,349063,1009,Ústecký,2024-05-01
700-799,zbývající kriminalita,1074,519,0.4832,2,5,7,218,53,290,207,0,322,841,3,10,13,367,76,328,239,2,76939,0,Ústecký,2024-05-01
800-899,hospodářská kriminalita,591,291,0.4924,0,1,1,69,32,1,1,3,84,375,0,1,1,92,43,1,1,4,299773,299,Ústecký,2024-05-01
900-999,vojenské a protiústavní činy,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ústecký,2024-05-01
100-106,vraždy,3,2,0.6667000000000001,0,0,0,1,0,0,0,0,2,4,0,0,0,2,0,0,0,0,400,0,Královéhradecký,2024-05-01
100-199,násilná kriminalita,244,108,0.4426,7,3,10,45,8,22,15,0,66,174,12,7,18,73,16,37,28,0,811,0,Královéhradecký,2024-05-01
200-299,mravnostní kriminalita,81,20,0.2469,6,0,6,5,1,2,1,0,22,42,13,4,17,8,1,2,1,0,0,0,Královéhradecký,2024-05-01
300-399,krádeže vloupáním,285,104,0.3649,0,2,2,73,4,23,0,0,37,141,0,3,3,97,7,23,0,0,12526,51,Královéhradecký,2024-05-01
400-499,krádeže prosté,455,244,0.5363,1,14,15,204,5,22,4,0,73,317,2,18,20,261,10,22,4,0,23005,81,Královéhradecký,2024-05-01
500-599,ostatní majetková kriminalita,592,58,0.098,2,0,2,37,2,4,2,1,85,143,4,5,9,78,8,7,4,1,113620,0,Královéhradecký,2024-05-01
300-599,majetková kriminalita,1332,406,0.3048,3,16,19,314,11,49,6,1,195,601,6,26,32,436,25,52,8,1,149150,132,Královéhradecký,2024-05-01
600-699,ostatní kriminalita,507,299,0.5897,4,4,8,200,17,34,16,0,67,366,7,9,16,236,24,40,19,0,8005,0,Královéhradecký,2024-05-01
100-699,obecná kriminalita,2164,833,0.3849,20,23,43,564,37,107,38,1,350,1183,38,46,83,753,66,131,56,1,157966,132,Královéhradecký,2024-05-01
700-799,zbývající kriminalita,493,321,0.6511,0,5,5,94,38,200,136,0,116,437,0,5,5,116,46,226,157,0,17582,0,Královéhradecký,2024-05-01
800-899,hospodářská kriminalita,291,107,0.3677,0,2,2,24,19,1,1,2,46,153,0,2,2,42,27,1,1,3,64965,0,Královéhradecký,2024-05-01
